id,standard,alternative,english
774,Croesor,,Croesor
775,Croespenmaen,,Croespenmaen
776,Croesyceiliog,,Croesyceiliog
777,Croesyceiliog,,Croesyceiliog
778,Croesyceiliog,,Croesyceiliog
779,Croes-y-llan,,Croes-y-llan
780,Croesymwyalch,,Croesymwyalch
781,Croes-y-pant,,Croes-y-pant
782,Croes-y-waun,,Croes-y-waun
783,Crofty,,Crofty
784,"Cross Ash",,"Cross Ash"
785,"Cross Hands",,"Cross Hands"
786,"Cross Hands",,"Cross Hands"
787,"Cross Inn",,"Cross Inn"
788,"Cross Inn",,"Cross Inn"
789,"Cross Lanes",,"Cross Lanes"
790,"Cross Oak",,"Cross Oak"
791,Crosshands,,Crosshands
792,Crosskeys,,Crosskeys
793,Crosstown,,Crosstown
794,Crossway,,Crossway
795,"Crossway Green",,"Crossway Green"
796,Crossways,,Crossways
797,"Crowther's Pool",,"Crowther's Pool"
798,Crucadarn,,Crickadarn
799,Crucywel,,Crickhowell
800,Crug,,Crick
801,Crugion,,Criggion
802,Crug-y-bar,,Crug-y-bar
803,Crumblands,,Crumblands
804,Crundale,,Crundale
805,Crwbin,,Crwbin
806,"Y Crwys",,"Three Crosses"
807,Crymlyn,,Crumlin
808,"Crymlyn Burrows",,"Crymlyn Burrows"
809,Crymych,,Crymych
810,Crynwedd,,Crinow
811,"Cuckoos Row",,"Cuckoos Row"
812,Cuffern,,Cuffern
813,"Cumber's Bank",,"Cumber's Bank"
814,"Cupids Hill",,"Cupids Hill"
815,Cutiau,,Cutiau
816,Cuttybridge,,Cuttybridge
817,"Y Cwar",,"The Quar"
818,Cwm,,Cwm
819,Cwm,,Cwm
820,"Cwm Belan",,"Cwm Belan"
821,"Cwm Capel",,"Cwm Capel"
822,"Cwm Penmachno",,"Cwm Penmachno"
823,"The Cwm",,"The Cwm"
824,Cwmafan,,Cwmafan
825,Cwmafon,,Cwmafon
826,Cwmaman,,Cwmaman
827,Cwm-ann,,Cwm-ann
828,Cwm-bach,,Cwm-bach
829,Cwm-bach,,Cwm-bach
830,Cwm-bach,,Cwm-bach
831,Cwmbrân,,Cwmbrân
832,"Cwmbrân Uchaf",,"Upper Cwmbrân"
833,Cwmbrwyno,,Cwmbrwyno
834,Cwmbwrla,,Cwmbwrla
835,Cwm-byr,,Cwm-byr
836,Cwmcarfan,,Cwmcarfan
837,Cwm-carn,,Cwm-carn
838,Cwmcarnhywel,,Cwmcarnhywel
839,Cwmcelyn,,Cwmcelyn
840,Cwmcerdinen,,Cwmcerdinen
841,Cwmcewydd,,Cwmcewydd
842,Cwmclydach,,"Clydach Vale"
843,Cwmcorrwg,,Cwmcorrwg
844,Cwm-cou,,Cwm-cou
845,Cwmcrawnon,,Cwmcrawnon
846,Cwm-cuch,,Cwm-cuch
847,Cwmdâr,,Cwmdare
848,Cwm-du,,Cwm-du
849,Cwm-du,,Cwm-du
850,Cwmduad,,Cwmduad
851,Cwmdulais,,Cwmdulais
852,Cwmdŵr,,Cwmdŵr
853,Cwmdwyfran,,Cwmdwyfran
854,Cwmerfyn,,Cwmerfyn
855,Cwmergyr,,Cwmergyr
856,Cwmfelin,,Cwmfelin
857,Cwmfelin,,Cwmfelin
858,Cwmfelin-boeth,,Cwmfelin-boeth
859,Cwm-felin-fach,,Cwm-felin-fach
860,Cwmfelin-fach,,Cwmfelin-fach
861,Cwmfelinmynach,,Cwmfelinmynach
862,Cwm-ffrwd,,Cwm-ffrwd
863,Cwm-ffrwd-oer,,Cwm-ffrwd-oer
864,Cwmgelli,,Cwmgelli
865,Cwmgïedd,,Cwmgïedd
866,Cwm-gors,,Cwm-gors
867,Cwmgwili,,Cwmgwili
868,Cwm-gwrach,,Cwm-gwrach
869,Cwmheiob,,Cwmheyope
870,Cwmhiraeth,,Cwmhiraeth
871,Cwm-hwnt,,Cwm-hwnt
872,Cwmifor,,Cwmifor
873,Cwm-iou,,Cwmyoy
874,Cwmisfael,,Cwmisfael
875,Cwmllethryd,,Cwmllethryd
876,Cwmlline,,Cwmlline
877,Cwmllynfell,,Cwmllynfell
878,Cwm-mawr,,Cwm-mawr
879,Cwm-miles,,Cwm-miles
880,Cwm-morgan,,Cwm-morgan
881,Cwm-nant-gam,,Cwm-nant-gam
882,Cwm-nant-gwynt,,Cwm-nant-gwynt
883,Cwmnantyrodyn,,Cwmnantyrodyn
884,Cwmoernant,,Cwmoernant
885,Cwmogwr,,"Ogmore Vale"
886,Cwm-parc,,Cwm-parc
887,Cwm-pen-graig,,Cwm-pen-graig
888,Cwmpennar,,Cwmpennar
889,Cwm-rhos,,Cwm-rhos
890,Cwmrhydyceirw,,Cwmrhydyceirw
891,Cwmsychbant,,Cwmsychbant
892,Cwmsyfïog,,Cwmsyfïog
893,Cwmsymlog,,Cwmsymlog
894,"Cwm-twrch Isaf",,"Lower Cwm-twrch"
895,"Cwm-twrch Uchaf",,"Upper Cwm-twrch"
896,Cwmtydu,,Cwmtydu
897,Cwmtyleri,,Cwmtillery
898,Cwmwysg,,Cwmwysg
899,Cwm-y-glo,,Cwm-y-glo
900,Cwm-y-glo,,Cwm-y-glo
901,Cwm-ynys-cou,,Cwm-ynys-cou
902,Cwmyreglwys,,Cwmyreglwys
903,Cwmystwyth,,Cwmystwyth
904,Cwrt,,Cwrt
905,Cwrtcolman,,Cwrtcolman
906,Cwrt-henri,,Cwrt-henri
907,Cwrtnewydd,,Cwrtnewydd
908,Cwrt-sart,,Cwrt-sart
909,Cwrtycadno,,Cwrtycadno
910,Cwrtygollen,,Cwrtygollen
911,Cydweli,,Cydweli
912,Cyfarthfa,,Cyfarthfa
913,"Cyffordd Llandudno",,"Llandudno Junction"
914,Cymau,,Cymau
915,Cymdda,,Cymdda
916,Cymer,,Cymer
917,"Y Cymer",,"Y Cymer"
918,Cymin,,Cymin
919,Cyncoed,,Cyncoed
920,Cyncoed,,Cyncoed
921,Cynffig,,Kenfig
922,Cynghordy,,Cynghordy
923,Cynheidre,,Cynheidre
924,Cynonville,,Cynonville
925,Cyntwell,,Cyntwell
926,Cynwyd,,Cynwyd
927,"Cynwyl Elfed",,"Cynwyl Elfed"
928,Cywarch,,Cywarch
929,Dafen,,Dafen
930,Dale,,Dale
931,Danrhelyg,,Danrhelyg
932,Dan-y-graig,,Dan-y-graig
933,Dardy,,Dardy
934,Darland,,Darland
935,Darowen,,Darowen
936,Darran-las,,Darran-las
937,Darrenfelen,,Darrenfelen
938,Dawn,,Dawn
939,Ddôl,,Ddôl
940,"Y Ddraenen-wen",,Hawthorn
941,Deepweir,,Deepweir
942,Deerland,,Deerland
943,Defynnog,,Defynnog
944,Deganwy,,Deganwy
945,Deiniolen,,Deiniolen
946,Deri,,Deri
947,Derwen,,Derwen
948,Derwen,,Derwen
949,Derwen-fawr,,"Broad Oak"
950,Derwen-fawr,,Derwen-fawr
951,Derwen-gam,,Oakford
952,Derwen-las,,Derwen-las
953,Derwydd,,Derwydd
954,Devauden,,Devauden
955,Dihewyd,,Dihewyd
956,Dimlands,,Dimlands
957,Dinas,,Dinas
958,Dinas,,Dinas
959,Dinas,,Dinas
960,Dinas,,Dinas
961,"Dinas Dinlle",,"Dinas Dinlle"
962,"Dinas Mawddwy",,"Dinas Mawddwy"
963,"Dinas Powys",,"Dinas Powys"
964,Dinbych,,Denbigh
965,Dinbych-y-pysgod,,Tenby
966,Dinmael,,Dinmael
967,Dinorwig,,Dinorwig
968,Diserth,,Diserth
969,"Dobs Hill",,"Dobs Hill"
970,"Doc Penfro",,"Pembroke Dock"
971,"Doc y Barri",,"Barry Dock"
972,Dolanog,,Dolanog
973,Dolau,,Dolau
974,Dolbenmaen,,Dolbenmaen
975,Doldowlod,,Doldowlod
976,Dole,,Dole
977,Dolfor,,Dolfor
978,Dolgadfan,,Dolgadfan
979,Dolgarrog,,Dolgarrog
980,Dolgellau,,Dolgellau
981,Dôl-goch,,Dôl-goch
982,Dolhendre,,Dolhendre
983,"Dolley Green",,"Dolley Green"
984,Dolwyddelan,,Dolwyddelan
985,Dôl-y-bont,,Dôl-y-bont
986,Dôl-y-cae,,Dôl-y-cae
987,Dolycannau,,Dolycannau
988,Dolydd,,Dolydd
989,Dolyronnen,,Dolyronnen
990,Dôl-y-wern,,Dôl-y-wern
991,Domgae,,Domgae
992,Dothan,,Dothan
993,Dowlais,,Dowlais
994,"Dowlais Top",,"Dowlais Top"
995,Downs,,Downs
996,Draethen,,Draethen
997,Dreenhill,,Dreenhill
998,Dre-fach,,Dre-fach
999,Dre-fach,,Dre-fach
1000,Dre-fach,,Dre-fach
1001,Dre-fach,,Dre-fach
1002,"Dre-fach Felindre",,"Dre-fach Felindre"
1003,Drefelin,,Drefelin
1004,"Drenewydd Gelli-farch",,Shirenewton
1005,"Y Drenewydd",,"Bute Town"
1006,"Y Drenewydd",,Newtown
1007,Druidston,,Druidston
1008,Drury,,Drury
1009,"Drury Lane",,"Drury Lane"
1010,Drws-y-coed,,Drws-y-coed
1011,Dryslwyn,,Dryslwyn
1012,Dulas,,Dulas
1013,Dutlas,,Dutlas
1014,"Dŵr Cwmwdig",,"Cwmwdig Water"
1015,Dwygyfylchi,,Dwygyfylchi
1016,"Dwyrain Aberddawan",,"East Aberthaw"
1017,Dwyran,,Dwyran
1018,Dyffryn,,Dyffryn
1019,Dyffryn,,Dyffryn
1020,Dyffryn,,Dyffryn
1021,Dyffryn,,Dyffryn
1022,Dyffryn,,Dyffryn
1023,Dyffryn,,Dyffryn
1024,"Dyffryn Ardudwy",,"Dyffryn Ardudwy"
1025,"Dyffryn Cellwen",,"Dyffryn Cellwen"
1026,"Dyffryn Clydach",,"Dyffryn Clydach"
1027,Dylife,,Dylife
1028,Dyfnant,Dynfant,Dunvant
1029,Dyserth,,Dyserth
1030,"East Bank",,"East Bank"
1031,"East Moors",,"East Moors"
1032,"East Village",,"East Village"
1033,"East Williamston",,"East Williamston"
1034,Eastbrook,,Eastbrook
1035,Edern,,Edern
1036,Edmondstown,,Edmondstown
1037,Edwardsville,,Edwardsville
1038,Efail-fach,,Efail-fach
1039,Efail-fach,,Efail-fach
1040,Efailisaf,,Efailisaf
1041,Efailnewydd,,Efailnewydd
1042,Efail-rhyd,,Efail-rhyd
1043,Efail-wen,,Efail-wen
1044,Efenechdyd,,Efenechdyd
1045,"Eglwys Brewys",,"Eglwys Brewys"
1046,"Eglwys Cross",,"Eglwys Cross"
1047,"Eglwys Fair y Mynydd",,"St Mary Hill"
1048,"Yr Eglwys Lwyd",,Ludchurch
1049,"Eglwys Newydd",,Newchurch
1050,"Yr Eglwys Newydd ar y Cefn",,Newchurch
1051,"Yr Eglwys Newydd",,Whitchurch
1052,"Eglwys Nynnid",,"Eglwys Nynnid"
1053,"Eglwys Wen",,"Eglwys Wen"
1054,"Eglwys Wythwr",,Monington
1055,"Eglwys y Drindod",,Christchurch
1056,Eglwys-bach,,Eglwys-bach
1057,Eglwyseg,,Eglwyseg
1058,Eglwys-fach,,Eglwys-fach
1059,Eglwysilan,,Eglwysilan
1060,Eglwyswrw,,Eglwyswrw
1061,Einsiob,,Evenjobb
1062,Eisingrug,,Eisingrug
1063,Elim,,Elim
1064,Eneu'r-glyn,,Energlyn
1065,Engedi,,Engedi
1066,Erbistog,,Erbistock
1067,Erddig,,Erddig
1068,Erwyd,,Erwood
1069,Eryrys,,Eryrys
1070,Esgair,,Esgair
1071,"Esgair Maen",,"Esgair Maen"
1072,Esgairdawe,,Esgairdawe
1073,Esgairgeiliog,,Esgairgeiliog
1074,Esgyryn,,Esgyryn
1075,Eutun,,Eyton
1076,Evanstown,,Evanstown
1077,Ewloe,,Ewloe
1078,"Ewloe Green",,"Ewloe Green"
1079,Fachelich,,Fachelich
1080,"Y Fach-wen",,"Y Fach-wen"
1081,Faenor,,Vaynor
1082,Faerdre,,Vardre
1083,Fagwyr,,Fagwyr
1084,Fairbourne,,Fairbourne
1085,Fairwater,,Fairwater
1086,Fairwood,,Fairwood
1087,"Y Fali",,Valley
1088,"Y Fan",,"Y Fan"
1089,"Y Fan",,Van
1090,"Y Farteg",,Varteg
1091,"Felin Crai",,"Felin Crai"
1092,Felindre,,Felindre
1093,Felindre,,Felindre
1094,Felindre,,Felindre
1095,Felindre,,Felindre
1096,Felindre,,Felindre
1097,Felindre,,Felindre
1098,"Felindre Farchog",,"Felindre Farchog"
1099,Felin-fach,,Felin-fach
1100,Felin-fach,,Felin-fach
1101,Felin-foel,,Felin-foel
1102,Felinfrân,,Felinfrân
1103,Felinganol,,"Middle Mill"
1104,"Felin-gwm Isaf",,"Felin-gwm Isaf"
1105,"Felin-gwm Uchaf",,"Felin-gwm Uchaf"
1106,"Y Felinheli",,"Y Felinheli"
1107,Felin-hen,,Felin-hen
1108,Felin-newydd,,"New Mills"
1109,Felin-wen,,Felin-wen
1110,Felinwnda,,Felinwnda
1111,"Y Felin-wyllt",,"Wild Mill"
1112,Felin-wynt,,Felin-wynt
1113,"Y Fenni",,Abergavenny
1114,"Fenns Bank",,"Fenns Bank"
1115,Fernlea,,Fernlea
1116,"Y Ferwig",,"Y Ferwig"
1117,Ffair-fach,,Ffair-fach
1118,Ffair-rhos,,Ffair-rhos
1119,Ffaldybrenin,,Ffaldybrenin
1120,Ffarmers,,Ffarmers
1121,Ffawyddog,,Ffawyddog
1122,"Fferws Hill",,"Fferws Hill"
1123,"Y Fflint",,Flint
1124,Ffontygari,,Ffontygari
1125,"Y Ffôr",,"Y Ffôr"
1126,Ffordd-las,,Ffordd-las
1127,Fforddygyfraith,,Fforddygyfraith
1128,Ffordun,,Forden
1129,Fforest,,Fforest
1130,"Fforest Coalpit",,"Fforest Coalpit"
1131,Fforest-fach,,Fforest-fach
1132,Fforest-goch,,Fforest-goch
1133,Ffostrasol,,Ffostrasol
1134,Ffos-y-ffin,,Ffos-y-ffin
1135,Ffos-y-frân,,Ffos-y-frân
1136,Ffos-y-go,,Ffos-y-go
1137,Ffrith,,Ffrith
1138,Ffwl-y-mwn,,Fonmon
1139,Ffwrnais,,Furnace
1140,Ffynnon,,Ffynnon
1141,"Ffynnon Taf",,"Taff's Well"
1142,Ffynnon-ddrain,,Ffynnon-ddrain
1143,Ffynnon-groes,,Crosswell
1144,Ffynnongroyw,,Ffynnongroyw
1145,Ffynnongynid,,Ffynnongynid
1146,Ffynnon-oer,,Ffynnon-oer
1147,Ffynonne,,Ffynonne
1148,"Five Lanes",,"Five Lanes"
1149,Fochriw,,Fochriw
1150,Foelgastell,,Foelgastell
1151,Forgeside,,Forgeside
1152,Fountain,,Fountain
1153,"Four Crosses",,"Four Crosses"
1154,"Freshwater East",,"Freshwater East"
1155,Freystrop,,Freystrop
1156,"Y Friog",,"Y Friog"
1157,Frochas,,Frochas
1158,Fron,,Fron
1159,"Fron Isaf",,"Fron Isaf"
1160,"Y Fron",,"Y Fron"
1161,Fronbache,,Fronbache
1162,Froncysyllte,,Froncysyllte
1163,Fron-deg,,Fron-deg
1164,Fron-goch,,Fron-goch
1165,Gabalfa,,Gabalfa
1166,Gadlys,,Gadlys
1167,"Y Gadlys",,"Y Gadlys"
1168,Gaer,,Gaer
1169,Gaer-fawr,,Gaer-fawr
1170,Gaer-lwyd,,Gaer-lwyd
1171,Gaerwen,,Gaerwen
1172,Gallowsgreen,,Gallowsgreen
1173,Galltegfa,,Galltegfa
1174,Gallt-y-foel,,Gallt-y-foel
1175,"Galon Uchaf",,"Galon Uchaf"
1176,"Y Ganllwyd",,"Y Ganllwyd"
1177,"Garden City",,"Garden City"
1178,"Garden City",,"Garden City"
1179,"Garden Village",,"Garden Village"
1180,"Y Garn",,Roch
1181,"Y Garnant",,"Y Garnant"
1182,Garndiffaith,,Garndiffaith
1183,Garndolbenmaen,,Garndolbenmaen
1184,Garneddwen,,Garneddwen
1185,Garn-fach,,Garn-fach
1186,Garnfadrun,,Garnfadrun
1187,Garnlydan,,Garnlydan
1188,Garn-swllt,,Garn-swllt
1189,Garnyrerw,,Garnyrerw
1190,Garreg,,Garreg
1191,Garth,,Garth
1192,Garth,,Garth
1193,"Garth Trefor",,"Garth Trefor"
1194,Garthbeibio,,Garthbeibio
1195,Garthbrengi,,Garthbrengi
1196,Gartheli,,Gartheli
1197,Garthmyl,,Garthmyl
1198,Gatlas,,Gatlas
1199,Gegin,,Gegin
1200,Gell,,Gell
1201,Gelli,,Gelli
1202,"Y Gelli Gandryll",,Hay-on-Wye
1203,Gelli-aur,,"Golden Grove"
1204,Gelli-deg,,Gelli-deg
1205,Gellifedw,,Birchgrove
1206,Gellifelen,,Gellifelen
1207,Gellifor,,Gellifor
1208,Gelli-gaer,,Gelli-gaer
1209,Gelli-groes,,Gelli-groes
1210,Gelli-gron,,Gelli-gron
1211,Gelli-haf,,Gelli-haf
1212,Gellilydan,,Gellilydan
1213,Gelli-nudd,,Gelli-nudd
1214,Gelli-wen,,Gelli-wen
1215,Gendros,,Gendros
1216,Georgetown,,Georgetown
1217,Georgetown,,Georgetown
1218,Gerlan,,Gerlan
1219,Geuffordd,,Geuffordd
1220,Geufron,,Geufron
1221,Gignog,,Gignog
1222,Gilfach,,Gilfach
1223,Gilfach-goch,,Gilfach-goch
1224,Gilfachreda,,Gilfachreda
1225,Gilwern,,Gilwern
1226,Gilwern,,Gilwern
1227,"Y Glais",,"Y Glais"
1228,"Glan Dwyfach",,"Glan Dwyfach"
1229,Glanadda,,Glanadda
1230,Glanaman,,Glanaman
1231,Glan-bad,,"Upper Boat"
1232,Glanduar,,Glanduar
1233,Glandŵr,,Glandŵr
1234,Glandŵr,,Glandŵr
1235,Glandŵr,,Glandŵr
1236,Glandŵr,,Glandŵr
1237,Glandŵr,,Landore
1238,"Glandy Cross",,"Glandy Cross"
1239,Glandyfi,,Glandyfi
1240,Glangrwyne,,Glangrwyne
1241,Glangwili,,Glangwili
1242,Glan-llyn,,Glan-llyn
1243,Glan-miwl,,Glan-mule
1244,Glanmwrwg,,Glanmwrwg
1245,Glanpwllafon,,Glanpwllafon
1246,Glanrafon,,Glanrafon
1247,Glan-rhyd,,Glan-rhyd
1248,Glan-rhyd,,Glan-rhyd
1249,Glantwymyn,,"Cemaes Road"
1250,Glan-wern,,Glan-wern
1251,Glanwydden,,Glanwydden
1252,Glanyfferi,,Ferryside
1253,Glan-y-môr,,Seaside
1254,Glan-y-nant,,Glan-y-nant
1255,Glan-y-nant,,Glan-y-nant
1256,Glan-y-pwll,,Glan-y-pwll
1257,Glanyrafon,,Glanyrafon
1258,Glanyrafon,,Glanyrafon
1259,Glanyrafon,,Riverside
1260,Glan-y-wern,,Glan-y-wern
1261,Glasbwll,,Glasbwll
1262,Glasfryn,,Glasfryn
1263,Glasgoed,,Glasgoed
1264,Glasgoed,,Glasgoed
1265,Glasgoed,,Glasgoed
1266,Glasgwm,,Glasgwm
1267,Glasinfryn,,Glasinfryn
1268,Gleiniant,,Gleiniant
1269,Glenowen,,Glenowen
1270,"Y Glog",,"Y Glog"
1271,"Glyn Garth",,"Glyn Garth"
1272,"Glyn Mil",,"Glyn Mil"
1273,"Glyn Nant-y-glo",,Coalbrookvale
1274,Glynarthen,,Glynarthen
1275,Glynceiriog,,Glynceiriog
1276,Glyn-coch,,Glyn-coch
1277,Glyn-coed,,Glyn-coed
1278,Glyncorrwg,,Glyncorrwg
1279,Glyndyfrdwy,,Glyndyfrdwy
1280,Glynebwy,,"Ebbw Vale"
1281,Glyn-gaer,,Glyn-gaer
1282,Glyn-llan,,Glyn-llan
1283,Glynllifon,,Glynllifon
1284,Glyn-nedd,,Glynneath
1285,Glynogwr,,Glynogwr
1286,Glynrhedynog,,Ferndale
1287,Glyn-taf,,Glyn-taf
1288,Glyntawe,,Glyntawe
1289,Glyn-teg,,Glyn-teg
1290,Glyntraean,,Glyntraean
1291,Godreaman,,Godreaman
1292,Godre'r-graig,,Godre'r-graig
1293,Goetre,,Goetre
1294,Goetre,,Goetre
1295,Goetre,,Goetre
1296,Goetre-hen,,Coytrahen
1297,Gofilon,,Gofilon
1298,Goginan,,Goginan
1299,"Gogledd Corneli",,"North Cornelly"
1300,Golan,,Golan
1301,"Gold Tops",,"Gold Tops"
1302,Golftyn,,Golftyn
1303,Golly,,Golly
1304,Golynos,,Golynos
1305,"Gorllewin Aberddawan",,"West Aberthaw"
1306,Gorrig,,Gorrig
1307,Gorsedd,,Gorsedd
1308,Gorseinon,,Gorseinon
1309,Gors-goch,,Gors-goch
1310,Gors-goch,,Gors-goch
1311,Gors-las,,Gors-las
1312,Graianrhyd,,Graianrhyd
1313,Graig,,Graig
1314,Graig,,Graig
1315,"Y Graig",,"Y Graig"
1316,Graigfechan,,Graigfechan
1317,Graigfelen,,Graigfelen
1318,Graigtrewyddfa,,Graigtrewyddfa
1319,Graig-wen,,Graig-wen
1320,Graig-y-rhaca,,Graig-y-rhaca
1321,Grangetown,,Grangetown
1322,"Great Honeyborough",,"Great Honeyborough"
1323,"Great Oak",,"Great Oak"
1324,Green,,Green
1325,Greenmeadow,,Greenmeadow
1326,Gresffordd,,Gresford
1327,Griffithstown,,Griffithstown
1328,"Y Groes",,Crossgates
1329,Groes-faen,,Groes-faen
1330,"Y Groes-faen",,"Y Groes-faen"
1331,Groesffordd,,Groesffordd
1332,Groesffordd,,Groesffordd
1333,Groesffordd,,Groesffordd
1334,Groesffordd,,Groesffordd
1335,"Groesffordd Marli",,"Groesffordd Marli"
1336,"Y Groeslon",,"Y Groeslon"
1337,Groes-lwyd,,Groes-lwyd
1338,Groes-lwyd,,Groes-lwyd
1339,Groespluen,,Groespluen
1340,Groes-wen,,Groes-wen
1341,Grofield,,Grofield
1342,Gronant,,Gronant
1343,"Y Grysmwnt",,Grosmont
1344,Guilford,,Guilford
1345,Gumfreston,,Gumfreston
1346,Gurnos,,Gurnos
1347,Gurnos,,Gurnos
1348,Gwaeddel,,Weythel
1349,Gwaelod-y-garth,,Gwaelod-y-garth
1350,Gwalchmai,,Gwalchmai
1351,"Gwalchmai Uchaf",,"Gwalchmai Uchaf"
1352,Gwastad,,Gwastad
1353,Gwastadnant,,Gwastadnant
1354,Gwastadros,,Gwastadros
1355,Gwauncaegurwen,,Gwauncaegurwen
1356,Gwaunleision,,Gwaunleision
1357,Gwaunysgor,,Gwaunysgor
1358,Gwaunyterfyn,,Acton
1359,Gwbert,,Gwbert
1360,Gwehelog,,Gwehelog
1361,Gwenddwr,,Gwenddwr
1362,Gwenffrwd,,Whitebrook
1363,Gwenfô,,Wenvoe
1364,Gwernesni,,Gwernesni
1365,Gwernogle,,Gwernogle
1366,Gwernymynydd,,Gwernymynydd
1367,Gwern-y-steeple,,Gwern-y-steeple
1368,Gwersyllt,,Gwersyllt
1369,Gwesbyr,,Gwesbyr
1370,Gwestydd,,Gwestydd
1371,Gwndy,,Undy
1372,Gwredog,,Gwredog
1373,Gwrhay,,Gwrhay
1374,Gwyddelwern,,Gwyddelwern
1375,Gwyddgrug,,Gwyddgrug
1376,Gwydir,,Gwydir
1377,Gwynfryn,,Gwynfryn
1378,Gwystre,,Gwystre
1379,Gwytherin,,Gwytherin
1380,Gyfeillion,,Gyfeillion
1381,Gyfelia,,Gyfelia
1382,"Y Gyffylliog",,"Y Gyffylliog"
1383,"Gyrn Goch",,"Gyrn Goch"
1384,Hafod,,Hafod
1385,Hafod-y-bwch,,Hafod-y-bwch
1386,Hafod-y-coed,,Hafod-y-coed
1387,Hafodyrynys,,Hafodyrynys
1388,Hakin,,Hakin
1389,Halchdyn,,Halghton
1390,"Halfpenny Furze",,"Halfpenny Furze"
1391,Halfway,,Halfway
1392,Halfway,,Halfway
1393,Halton,,Halton
1394,Hanmer,,Hanmer
1395,Hardwick,,Hardwick
1396,Harford,,Harford
1397,Harlech,,Harlech
1398,Hawen,,Hawen
1399,Hawy,,Howey
1400,Haysford,,Haysford
1401,Hazelbeach,,Hazelbeach
1402,Heartsease,,Heartsease
1403,Hebron,,Hebron
1404,Helygain,,Halkyn
1405,"Hen Domen",,"Hen Domen"
1406,"Hen Golwyn",,"Old Colwyn"
1407,"Hen Ystog",,"Old Churchstoke"
1408,Hen-barc,,Hen-barc
1409,Hendre,,Hendre
1410,Hendre,,Hendre
1411,Hendre,,Hendre
1412,Hendredenny,,Hendredenny
1413,Hendreforgan,,Hendreforgan
1414,Hendre-rwydd,,Hendre-rwydd
1415,"Yr Hendy",,"Yr Hendy"
1416,"Hendy-gwyn ar Daf",,Whitland
1417,Heneglwys,,Heneglwys
1418,Henfeddau,,Henfeddau
1419,Henfynyw,,Henfynyw
1420,Hengastell,,Oldcastle
1421,Hengoed,,Hengoed
1422,Hengoed,,Hengoed
1423,Henllan,,Henllan
1424,Henllan,,Henllan
1425,Henllan,,Henllan
1426,Henllan,,Henllan
1427,"Henllan Amgoed",,"Henllan Amgoed"
1428,Henllys,,Henllys
1429,Henryd,,Henryd
1430,Hensol,,Hensol
1431,"Heol Abertawe",,"Swansea Road"
1432,Heol-ddu,,Heol-ddu
1433,Heol-ddu,,Heol-ddu
1434,"Heol-ddu Uchaf",,"Heol-ddu Uchaf"
1435,Heolgaled,,Heolgaled
1436,Heolgerrig,,Heolgerrig
1437,Heol-laethog,,Heol-laethog
1438,Heol-las,,Heol-las
1439,Heolsenni,,Heolsenni
1440,Heol-y-cyw,,Heol-y-cyw
1441,Heolymynydd,,Heolymynydd
1442,"The Herberts",,"The Herberts"
1443,Herbrandston,,Herbrandston
1444,Hermon,,Hermon
1445,Hermon,,Hermon
1446,Hermon,,Hermon
1447,Heronston,,Heronston
1448,"High Cross",,"High Cross"
1449,"Higher Kinnerton",,"Higher Kinnerton"
1450,"Higher Shotton",,"Higher Shotton"
1451,Highmead,,Highmead
1452,"Highmoor Hill",,"Highmoor Hill"
1453,Hightown,,Hightown
1454,Hillblock,,Hillblock
1455,Hirael,,Hirael
1456,Hiraeth,,Hiraeth
1457,Hirnant,,Hirnant
1458,Hirwaun,,Hirwaun
1459,"Yr Hôb",,Hope
1460,"Yr Hôb",,Hope
1461,Hodgeston,,Hodgeston
1462,"Holly Bush",,"Holly Bush"
1463,Hollybush,,Hollybush
1464,Holt,,Holt
1465,Holway,,Holway
1466,Honkley,,Honkley
1467,Hook,,Hook
1468,Hoop,,Hoop
1469,Hopkinstown,,Hopkinstown
1470,Horeb,,Horeb
1471,Horeb,,Horeb
1472,Horeb,,Horeb
1473,"Horseman's Green",,"Horseman’s Green"
1474,Horton,,Horton
1475,Houghton,,Houghton
1476,Hubberston,,Hubberston
1477,Hundleton,,Hundleton
1478,"Hundred House",,"Hundred House"
1479,Hwlffordd,,Haverfordwest
1480,Hwytyn,,Whitton
1481,Hywig,,Howick
1482,Idole,,Idole
1483,Iet-y-bwlch,,Iet-y-bwlch
1484,"Incline Top",,"Incline Top"
1485,Isatyn,,Hyssington
1486,Islaw'r-dref,,Islaw'r-dref
1487,Is-y-coed,,Is-y-coed
1488,Is-y-coed,,Is-y-coed
1489,Jameston,,Jameston
1490,Jeffreyston,,Jeffreyston
1491,"Jersey Marine",,"Jersey Marine"
1492,"Jingle Street",,"Jingle Street"
1493,Johnston,,Johnston
1494,Johnstown,,Johnstown
1495,Kendon,,Kendon
1496,Kingsland,,Kingsland
1497,Kinnerton,,Kinnerton
1498,"Kinnerton Green",,"Kinnerton Green"
1499,Kittle,,Kittle
1500,"The Knap",,"The Knap"
1501,Knollbury,,Knollbury
1502,Knolton,,Knolton
1503,"Knolton Bryn",,"Knolton Bryn"
1504,Lacharn,,Laugharne
1505,Lambston,,Lambston
1506,Landimôr,,Landimore
1507,Landshipping,,Landshipping
1508,Lanesend,,Lanesend
1509,Langland,,Langland
1510,Langstone,,Langstone
1511,Larnog,,Lavernock
1512,Lavister,,Lavister
1513,Lawnt,,Lawnt
1514,"Lawrence Hill",,"Lawrence Hill"
1515,Lawrenni,,Lawrenny
